coder,post_number,user,topic,raw,pers_exp,emot_exp,pol_opin,breadth,valence,contr,created_at,reply_to_post_number,reply_chain,vm,key,value,key...7,value...8,key...9,value...10
,7,Sternmarke,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Mir taucht in dem Plan viel zu häufig die Formulierung ""soll"" bzw. ""sollen"" auf. Das klingt mal wieder wenig konkret. Es müssten zum Beispiel konkrete Zahlen genannt werden, wann genau das Sicherheitspersonal und wie viele Mitarbeiter aufgestockt wird.",,,,,,,2017-08-29T10:42:34Z,NULL,,vm1,,,,,,
,8,UdoUli,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Man sollte nicht die Bundeswehr für die innere sicherheit nich beanspruchen,wie hier auch schon kommentiert worde verstösst sie gegen das grundgesetzt,und ich meine das sollte die aufgabefür die Polzei sein",,,,,,,2017-08-29T11:31:49Z,NULL,,vm1,,,,,,
,9,pokerwuerfel,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Heisse Luft, wie Alles, was St.Angela Merkel kommt. Wie die Realität in Europa aussieht, kann man tagtäglich verfolgen. Der hamburger Attentäter z.B. hätte nach Norwegen zurückgeschickt werden können. Wo sind die Behörden resp. Menschen, die dies umsetzen? Was für ein Trauerspiel!!",,,,,,,2017-08-29T12:30:05Z,NULL,,vm1,,,,,,
,10,Zehle0,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Wenn Sie das Alles machen wollen? Dann mal viel spaß.,,,,,,,2017-08-29T13:42:51Z,NULL,,vm1,,,,,,
,11,MrRight,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Der Neun-Punkte-Plan ist so aussagekräftig wie jede andere generell verordnete Verabschiedung, die dennoch natürlich angemessen erscheinen und ist somit als nichts außergewöhnliches zu werten. Bedeutsamer ist die Ursachen zu erkennen, wobei der IS sich aus der Bevölkerung Sudanischer Abstammung zusammensetzt, die auch in Irland ebenfalls zu religiös entstammenden Terror neigen, weil Sie in Ihrer sehr stark emotionalen Behaftung meinen, das das von Ihnen so erlebte Wohlgefühl ebenfalls anderen angenommen werden müßte, ebenfalls über die Gewalt, was natürlich ein absoluter Irrglauben ist und allein der eigenen Beschränktheit zuzuordnen ist. Auf der anderen Seite läßt sich dieses Klientel auch belehren, soweit man Ihnen die schlüssigen Argumente und NAchhaltigkeiten dazu liefert, weil wie alle Menschen sind dies nicht grunsätzlich schlecht, sondern nur verirrt im Sinne Ihrer genetischen Veranlagung. Dazu gehört also in erter Linie Prävention, hier in Deutschland und Europa, das man entsprechende Brennpunkte erkennt und hier entsprechende Sozialarbeit leistet, auf alle Fälle ist zu verhindern, das diese mit den verkehrten Personen in Kontakt geraten. Im Ausland ist diese Situation natürlich weit komplizierter. In gewisser Weise trägt auch der Islam eine gewisse Verantwortung dazu, wenngleich der IS in sich sicherlich etwas eigenes ist. Dennoch sollte der Islam eine eindeutige Gewaltablehnung offenzeigen. Im weiteren sind diese Personen mit den entsprechenden Argumenten zu belehren. Gewaltauseinadersetzungen dagegen werden keinen wirklichen Erfolg haben, weil dieser Person an sich nicht bereit ist aufzugeben und dann eher im Hintergrund agiert. Besondere Beachtung genießen daher die Hintermänner. Auf sie müßte gezielt ""Druck"" ausgeübt werden, an sich wäre der Islam hier auch der geeigneteste Ansprechpartner. Man kann diesem Personenkreis nur mit Argumenten ""erschlagen"", mit Waffengewalt wohl kaum. Alles wird sehr anstrengend sein. Dennoch sind nur wenige Hintermänner hier verursachend, je mehr man diese ächtet und Ihre Verirrung aufzeigt, um so mehr brökelt das Kartenhaus in sich. Alles andere kann nur Beiwerk sein.",,,,,,,2017-08-29T14:09:52Z,NULL,,vm1,,,,,,
,12,Felix,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Einige Punkte machen Sinn und sind längst überfällig, andere hingegen haben bisher überhaupt nicht funktioniert.",,,,,,,2017-08-29T14:27:25Z,NULL,,vm1,,,,,,
,13,Maria,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"In der Theorie hört sich das alles recht vernünftig an , aber der Plan wurde vor 13 Monaten vorgestellt ... Welche Vorhaben sind bisher in die Tat umgesetzt worden ? Wir sind an die Gebote unseres Rechtsstaates gebunden und ich sehe leider nicht , wie man verhindern könnte , dass bestimmte "" Fehlgeleitete "" dies ausnutzen . Es ist auch in unserer Kultur noch nicht sooo lange her , dass religiöse Ziele mit brutaler Gewalt durchgesetzt wurden . Bildung könnte vielleicht ein Gegenmittel sein , aber das ist nicht in kurzer Zeit zu erreichen. Bis dahin kann man , glaube ich , nur versuchen , durch Prävention möglichst viele Anschläge im Vorfeld zu verhindern.",,,,,,,2017-08-29T14:38:03Z,NULL,,vm1,,,,,,
,14,diglage,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Im Prinzip ist der Plan ein guter Anfang,allein mir fehlt der Glaube an der konkreten und schnellen Umsetzung.",,,,,,,2017-08-29T14:39:48Z,NULL,,vm1,,,,,,
,15,Maria,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Das ist unser Problem. "" Schnell "" geht gar nicht . Dafür sind viel zu viele Institutionen beteiligt . Aber anfangen kann man ja trotzdem !",,,,,,,2017-08-29T14:43:24Z,14,"Im Prinzip ist der Plan ein guter Anfang,allein mir fehlt der Glaube an der konkreten und schnellen Umsetzung.",vm1,,,,,,
,16,Tyler,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Liest sich ganz gut, ist aber insgesamt viel zu unkonkret. Es zeigt sich einmal mehr, dass Personalabbau bei der Polizei und den Behörden langfristig zu Problemen führt. Was ist mit der einwandfreien Feststellung der Personalien bei der Einreise der Flüchtlinge und ist bei verbotenen online Waffenkäufen auch das Darknet eingeschlossen?",,,,,,,2017-08-29T15:11:04Z,NULL,,vm1,,,,,,
,17,anonym,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Ich schließe mich der Meinung von birdie weitgehend an, jedoch halte ich zumindest Herrn Seehofer nicht für einen Schwätzer. Gerade, was er bei den nach Deutschland strömenden Ausländern gesagt hat, das ist fast alles so gekommen. Und genau hier würde ich den 9-Punkte-Plan noch gerne ergänzt wissen: In der Überprüfung von Einreisenden. Ebenso würde ich Reisende, die in kritische Länder, wie Syrien, Afghanistan etc. ausreisen wollen auf internationaler Ebene mehr durchleuchten.",,,,,,,2017-08-29T15:26:31Z,6,"Die beste Bundeskanzlerin, die wir nur haben können, hat in ihrer ruhigen und überlegten Art die gegebene Situation analysiert, Schlussfolgerungen gezogen und konkrete Massnahmen angeschoben, um erste Schritte gegen den Terrordruck aufzubauen. Das unterscheidet sie eben von Schwätzern wie Seehofer, Orban, Wilders, Wagenknecht und Konsorten, die allesamt in ihrer Unbedarftheit nichts Vergleichbares zustande bringen.",vm1,,,,,,
,18,Neuer78,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Effektlosew Gelaber,,,,,,,2017-08-29T20:08:28Z,17,"Die beste Bundeskanzlerin, die wir nur haben können, hat in ihrer ruhigen und überlegten Art die gegebene Situation analysiert, Schlussfolgerungen gezogen und konkrete Massnahmen angeschoben, um erste Schritte gegen den Terrordruck aufzubauen. Das unterscheidet sie eben von Schwätzern wie Seehofer, Orban, Wilders, Wagenknecht und Konsorten, die allesamt in ihrer Unbedarftheit nichts Vergleichbares zustande bringen. >>> Ich schließe mich der Meinung von birdie weitgehend an, jedoch halte ich zumindest Herrn Seehofer nicht für einen Schwätzer. Gerade, was er bei den nach Deutschland strömenden Ausländern gesagt hat, das ist fast alles so gekommen. Und genau hier würde ich den 9-Punkte-Plan noch gerne ergänzt wissen: In der Überprüfung von Einreisenden. Ebenso würde ich Reisende, die in kritische Länder, wie Syrien, Afghanistan etc. ausreisen wollen auf internationaler Ebene mehr durchleuchten.",vm1,,,,,,
,19,Maksimo,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Ich stimme dem 9 Punkteplan zu in allen Bereichen. Ich sage aber auch warum nicht stop mit den Asylaufnahmen.Wir sind kein Einwanderungsland. Warum nicht Schluss mit den aufnahmen. Das spart viel Kosten und Ärger.,,,,,,,2017-08-29T20:20:57Z,NULL,,vm1,,,,,,
,20,Enrico71,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Geht in die richtige Richtung - aber der Plan allein reicht nicht. Wieviel davon ist Wahlkampfgetöse?,,,,,,,2017-08-30T04:20:08Z,NULL,,vm1,,,,,,
,21,blume,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"prinzipiell nicht schlecht, aber konkretere Ausführungen zur Umsetzung sollten folgen",,,,,,,2017-08-30T07:37:10Z,NULL,,vm1,,,,,,
,22,Luna,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Erst mal ist jeder dieser Punkte positiv zu bewerten, weil alles, was zur Terrorbekämpfung beiträgt gut ist. Dann muss man sich die einzelnen Punkte genauer ansehen und hinterfragen. Zu Punkt 2 fragt man sich, warum überhaupt erst so viele Stellen bei der Polizei gestrichen wurden. Und Punkt 7 geht mir auch nicht weit genug. Auch der Waffenhandel außerhalb der Internets, sollte viel mehr reglementiert und kontrolliert werden. Ich würde auch Asylbewerber, die sich nicht an unsere Gesetze halten abschieben. Wer straffällig wird, hat in meinen Augen sein Recht auf Asyl verwirkt.",,,,,,,2017-08-30T09:21:47Z,NULL,,vm1,,,,,,
,23,blitzsocke,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"[quote=""system, post:1, topic:15""] Bundeswehreinsätze [/quote] Ich bin für die Bundeswehreinsätze zur Unterstützung der Polizei. Durch das Jahrelange streichen der Polizeikräfte ist diese durch die aktuelle Bedrohung völlig überfordert.",,,,,,,2017-08-30T09:59:07Z,NULL,,vm1,,,,,,
,24,Franzi2815,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Alles nur großes Gerede im Endeffekt wird nix unternommen,,,,,,,2017-08-30T10:01:58Z,NULL,,vm1,,,,,,
,25,Markus,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Die Bundeswehr hat im Innern nichts verloren, wer bestimmt denn, wann Terroranschläge ""groß"" sind? Ansonsten liest sich der Plan ganz gut, die Punkte machen Sinn. Aber an sich sollten das alles Maßnahmen sein, die bereits umgesetzt werden oder hätten umgesetzt werden können. Da bedarf es vielfach keiner langen Planungsphase sondern einfach nur der entsprechenden Anweisung an nachgeordnete Behörden.",,,,,,,2017-08-30T10:23:33Z,NULL,,vm1,,,,,,
,26,gewe,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Unbedingt eine bessere Zusammenarbeit der internationalen Geheimdienste und innerdeutsch bessere Kommunikation der staatlichen Behörden miteinander,,,,,,,2017-08-30T10:24:04Z,NULL,,vm1,,,,,,
,27,Siggi,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Ich sehe in dem Plan bisher nicht neues oder konkretes, nur das überall die Kapazität für Ressourcen und Material erhöht werden soll. Mehr Kapazität bedeutet aber nicht unbedingt ein effektiveres Arbeiten. Punkt 4. Die Bundeswehr mit einzubeziehen halte ich als zusätzliche Unterstützung für unsinnig, außer es wird ein Sonderteam gebildet und dieses wird auf genau solche Einsätze vorbereitet bzw. sollte das Personal dafür auf Tauglichkeit für diese Augabe geprüft werden. Also für mich ist bei diesem ""Plan"" nichts neues aufgeführt und es wird wahrscheinlich alles so bleiben wie es ist.",,,,,,,2017-08-30T10:50:18Z,NULL,,vm1,,,,,,
,28,volkibubi3,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"das ist ja ein Plan aus dem Jahr 2016. alles war plausibel. Aber wie sind bis jetzt, also bis zum Sommer 2017 die Resultate? Was sagen die Sicherheitsbehörden intern?",,,,,,,2017-08-30T10:51:03Z,NULL,,vm1,,,,,,
,29,Siggi,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"sehe ich leider auch so... Sobald der Wahlkampf vorbei ist und der Druck raus ist, wird sich wieder kaum einer dafür interessieren.",,,,,,,2017-08-30T10:51:16Z,24,Alles nur großes Gerede im Endeffekt wird nix unternommen,vm1,,,,,,
,30,volkibubi3,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Nein, das ist ein wichtiges Thema, und wird durch neue Anschläge, die irgendwo in europa, oder auch leider in Deutschland stattfinden werden, präsent sein. Aber es ist schon komisch, dass eine solche Untersuchung jetzt stattfindet. Die Kanzlerin Merkel ist ja nicht selbst für dieses resort verantwortlich sondern Th. de Maiziere.",,,,,,,2017-08-30T10:55:31Z,29,"Alles nur großes Gerede im Endeffekt wird nix unternommen >>> sehe ich leider auch so... Sobald der Wahlkampf vorbei ist und der Druck raus ist, wird sich wieder kaum einer dafür interessieren.",vm1,,,,,,
