coder,post_number,user,topic,raw,pers_exp,emot_exp,pol_opin,breadth,valence,contr,created_at,reply_to_post_number,reply_chain,key,value,key...7,value...8,key...9,value...10
,68,Hexe,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Zum Frühwarnsystem: ich wundere mich schon sehr lange. Wir schaffen es, zum Mond zu fliegen, aber Menschen, die in unser Land ohne Ausweispapiere einreisen wollen/Schutz suchen, die Fingerabdrücke abzunehmen und diese in einer zentralen Datei auszuwerten ist nicht möglich? Wie sollen Gefährder erkannt werden, wenn das System zu langsam und zu bürokratisch ist? Die Idee, ein Frühwarnsystem einzurichten ist gut, wird aber an den trägen Behörden scheitern. Mehr Personal: es ist noch nicht sehr lange her, da wurde die Reiterstaffel in Wuppertal abgeschafft, ebenso auch einige andere Staffeln. Das gab viel Leid, Tränen und Unverständnis. Und schon ein paar Jahre später werden neue Staffeln eingerichtet. Unsere Polizei schiebt Überstunden vor sich her, dass es einem graust. Nicht nur die Polizei muss verstärkt werden, sondern auch der Justizapparat. Um ein Gefühl der Sicherheit im Land zu haben, muss der Bürger sicher sein, dass nicht nur die Bombenleger, sondern auch die kleinen Einbrecher und Diebe gefasst und! verurteilt werden 3. : Gerne. Da so viele Menschen ihre Daten durch das Netz schicken, Payback- oder andere Karten nutzen und, und, und..glaube ich, dass sie Daten, die erfasst werden sollen, schon längst erfasst werden. 4.: Die Bundeswehr wird von den Steuerzahlern finanziert. Warum soll sie nicht unsere innere Sicherheit schützen? Also können Polizei und Bundeswehr miteinander üben. 5.: ja 6.: Es wäre gut, wenn innerhalb Deutschlands die Dateien vernetzt wären. Vielleicht erst einmal daran arbeiten.... 7. So schnell es geht 8.: Ist es das nicht schon bereits? 9.: Wir sind ein reiches Land und es geht uns sehr gut. Dass wir viele Flüchtlinge und/oder Asylsuchende hier haben, hat mich in meiner Lebensweise nicht eingeschränkt. Sobald aber ein Mensch, der hier die Gastfreundschaft genießt, straffällig wird ( damit meine ich nicht! das falsche Ausfüllen eines Formulars), hat er sein Gastrecht verwirkt und soll abgeschoben werden . Mein Fazit: Die einzelnen Punkte sind schön aufgestellt, aber leider sehe ich kein gutes Fundament. Wie konnte ein Amir die Behörden so lange an der Nase herumführen? Warum dauern Anträge manchmal Jahre? Um eine innere Sicherheit zu spüren müssen m. E. die Wege kurz und transparent sein. Polizei und Justiz müssen von Grund auf gestärkt werden. Ob mehr Abschiebungen alles rausreißen""? Ich weiß es nicht. Aber wenn die bestehenden Systeme stark wären, dann könnte man darauf auch aufbauen. Sonst ist der 9 Punkte Plan nur eine Worthülse.",,,,,,,2017-08-31T16:27:53Z,NULL,,,,,,,
,132,Dorle,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Punkt 9 müsste eigentlich ganz vorne kommen. Ansonsten Plan ok, wann erfolgt Umsetzung?",,,,,,,2017-09-02T14:39:57Z,NULL,,,,,,,
,102,anita,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"[quote=""system, post:1, topic:15""] Konzept [/quote] Also es scheint die problemerkenmung und zeitnahme Umsetzung erfolgt zu sein. Also sehr gut",,,,,,,2017-09-01T10:04:23Z,NULL,,,,,,,
,6,MontanaDO,Welche Schulnote würden Sie dem 9-Punkte-Plan geben? (35),"Wenn alles so ausgeführt würde wie geschrieben, dann können wir schon einiges erreichen und einige Anschläge verhindern. Auch die Menschen miteinander sollten mehr aufeinander achtgeben und wachsamer sein.",,,,,,,2017-08-30T21:08:06Z,NULL,,,,,,,
,129,realhumans,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Erst einmal gut, dass man sich nicht nur auf eines versteift, sondern es mit vielen Maßnahmen angeht. Manche halte ich für mehr wichtig, manche für weniger. Vor allem aber muss man sehr früh ansetzen und ich denke das hat man erkannt. Denn wenn man früh ansetzt, die Gefährdung erkennt bzw. es am Ende durch eine gelungene Asyl-Politik dazu bringt, dass diese gar nicht entsteht, spart man sich auch die Kosten, um später Personen rund-um-die-Uhr zu überwachen. Bei der Thematik der Entschlüsselung der Netzkommunikation: Natürlich ist hier auch die Gefahr des Missbrauchs da, aber ich vertraue den staatlichen Stellen in gewisser Weise, wenngleich die Formulierung so klingt, als dauert so etwas ewig und man sei technisch gar nicht versiert. Wieso hat man dies nicht schon vorher gemacht? Forschung und Prävention ist schön und gut, aber nicht so relevant. Online-Waffenkauf halte ich auch nicht für so grundlegend und wichtig. Viel wichtiger ist da wieder die verstärkte Zusammenarbeit der Geheimdienste. Aber das verspricht man nach jedem Terror-Akt und am Ende bleibt jeder für sich. Ich verstehe ja auch die einzelnen Länder, die natürlich auch Informationen als Machtbasis für sich behalten wollen. Der Punkt mit den Abschiebung halte ich für sehr wichtig und ist daher an 9. Stelle etwas zu weit hinten platziert.",,,,,,,2017-09-02T11:32:44Z,NULL,,,,,,,
,34,brunolina,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Spontan - ohne jetzt auf die einzelnen Inhalte einzugehen - bleibt ein Wort ganz klar in meinem Köpfchen: ""schnellstmöglich"". Es kommt in fast allen Punkten vor. Schon verliere ich die Geduld und neige dazu, die Inhalte zu übersehen, weil ich sie für ebenso unpräzise, unverbindlich halte. Sind sie im Übrigen auch. Alles wabbelig. Ich erwarte von einem Plan, dass die (rechtliche) Durchführung der einzelnen Punkte zuvor! eindeutig geklärt ist. Keine Wunschträume - real umsetzbare Dinge. Sofern es Hindernisse gibt, erwarte ich, dass diese Informationen mitgeliefert werden, so dass verständlich ist, dass die Umsetzung dieses Planes völlig ungewiss ist. Das sind meine ersten - oberflächlichen - Anmerkungen zu dem Gesamtthema ...",,,,,,,2017-08-30T15:13:30Z,NULL,,,,,,,
,148,Calculator,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"kann ich so nicht sehen. Wenn Asyl, dann mit Familie. Alles andere hat doch keine Sinn. Asylrecht ist doch ein Grundrecht bei uns. Da stellt sich die Frage nach Nutzen oder Schaden doch gar nicht. Wenn, dann müsste man grundsetzlich das Asylrecht in Frage stellen.",,,,,,,2017-09-03T09:07:27Z,147,"Eine Rückführung von Flüchtlingen muß verstärkt werden. Da bin ich mit Frau Merkel auf einer Linie. Es kann doch nicht sein, dass die aufgenommenen Flüchtlinge auch noch ihre Angehörigen nach Deutschland nachziehen lassen. Bei 250000 Asylanten kommen dann auch noch ca. 500000 bos 1 Million zusätzlich. Das verträgt Deutschland nicht. >>> ohne Familiennachzug scheitert eine Integration, jeder möchte doch zusammen mit seiner Familie leben. Was will einer alleine hier. So etwas wollte man doch selbst auch nicht. >>> Je mehr Flüchtlinge mit dem Recht des Nachzugs kommen um so mehr scheitert die Integration. Grund dafür ist, dass durch die Perspektivlosigkeit die in unserem Land entsteht, Schaden in unserem Land sowie auch für die Flüchtlinge vorprogrammiert ist. Perspektiven sollten im Herkunftland entstehen, was aber schwierig ist, da die korupten Regierungen mit Unterstützung der Industrienationen nur an ihren persönlichen Bereicherungen interessiert sind.",,,,,,
,76,Radebeuler,Wie bewerten Sie den 9-Punkte-Plan insgesamt? (77),"Hallo zusammen. In meinen Augen ist dieser komplette Plan nutzlos . Er reagiert nur passive auf die aktuell stattfindenden Geschehnisse ohne auf die Wurzel der entstandenen Probleme einzugehen. Viele Punkte die hier aufgeführt sind stellen für den Bürger eine Schlechterstellung bei den Persönlichkeitsrechten dar. Außerdem finde ich es immer wieder bezeichnend das solche ""Programme"" immer vor einer Wahl gemacht werden. Was ist denn die letzten Jahre passiert ? Warum müssen dafür Programme gemacht werden. Die regierenden Parteien hatten mehr als genug Zeit die Ursachen abzustellen. Dafür braucht es keinen 9 Punkte Plan. Und was die Aussagen , gerade unserer Kanzlerin , wert sind kann man man aus ihrer Aussage zur ""nationalen Anstrengung bei der Abschiebung "" erkennen. Was ist daraus geworden ? Genau . Nichts. Ich gebe absolut nichts auf solche Programme weil es wie bei so vielen anderen Sachen an der Umsetzung hapern wird. Denn wie schon gesagt , nicht reden sondern machen ! Viele der Probleme hätten wir ohne die Entscheidung unserer Kanzlerin gar nicht.",,,,,,,2017-09-07T07:31:30Z,NULL,,,,,,,
,48,renikellner,Wie bewerten Sie den 9-Punkte-Plan insgesamt? (77),dann wirst du ein langes Leben haben,,,,,,,2017-09-02T17:42:50Z,44,"wäre schon super erst mal diese Punkte auch in die Tat umzusetzen , >>> Wenn ich mal keine Themen mehr zum Träumen habe,dann träume ich von dem 9 Punkte Plan und lach mich Tod.",,,,,,
,146,Calculator,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"ohne Familiennachzug scheitert eine Integration, jeder möchte doch zusammen mit seiner Familie leben. Was will einer alleine hier. So etwas wollte man doch selbst auch nicht.",,,,,,,2017-09-03T06:41:20Z,32,"Eine Rückführung von Flüchtlingen muß verstärkt werden. Da bin ich mit Frau Merkel auf einer Linie. Es kann doch nicht sein, dass die aufgenommenen Flüchtlinge auch noch ihre Angehörigen nach Deutschland nachziehen lassen. Bei 250000 Asylanten kommen dann auch noch ca. 500000 bos 1 Million zusätzlich. Das verträgt Deutschland nicht.",,,,,,
