post_number,user,topic,raw,created_at,reply_to_post_number
1,system,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"<div class=""wrap""><img src=""/uploads/default/original/1X/82ff4d7700f64781ef9941c2f56ae6130cdb3185.jpg"" width=""690"" height=""388""></div> Am 28.07.2016 hat Bundeskanzlerin Angela Merkel ihren Neun-Punkte-Plan zur Terrorbekämpfung vorgestellt. Er gilt als eine Reaktion auf die Terroranschläge der vergangenen Zeit. Das sind die neun Punkte in der Gesamtübersicht: **1. Frühwarnsystem** Zu Merkels Konzept gehört ein „besseres Frühwarnsystem“, das Behörden bereits dann ein Tätigwerden ermöglicht, wenn bei Asylverfahren Hinweise auf eine Radikalisierung erkennbar werden. **2. Mehr Personal** Die Polizei soll durch personelle und technische Maßnahmen gestärkt werden. **3. Stelle zur Entschlüsselung der Netzkommunikation** Die bereits beschlossene zentrale Stelle für Informationstechnik im Sicherheitsbereich zur Entschlüsselung der Internetkommunikation sollte schnellstmöglich aufgebaut werden. **4. Bundeswehr** Bundeswehreinsätze im Inneren sollen bei großen Terroranschlägen möglich werden. Dazu zählen gemeinsame Übungen von Bundeswehr und Polizei. **5. Forschung und Prävention** Alle bestehenden Forschungsvorhaben zum islamistischen Terror und zur Radikalisierung von Menschen sollen fortgesetzt und gegebenenfalls erweitert werden. **6. Mehr Datenfluss in Europa** Auf europäischer Ebene sollen alle bestehenden Dateien schnellstmöglich vernetzt werden. **7. Online-Waffenkauf unterbinden** Das neue europäische Waffenrecht muss schnellstmöglich verabschiedet werden. Auf nationaler Ebene soll der Handel oder Kauf von Waffen online nicht mehr möglich sein. **8. Stärkere Kooperation der Geheimdienste** Die Kooperation mit befreundeten Diensten soll verstärkt und Aufklärung beschleunigt werden. So kann das Kommunikationsverhalten der Täter besser analysiert werden. **9. Mehr Abschiebungen** Die Anstrengungen zur Rückführung von Flüchtlingen in ihre Herkunftsländer müssen verstärkt werden, so Merkel. Was denken Sie über den Plan? Geht er zu weit, zu kurz? Welche Punkte würden Sie streichen? Welche Punkte würden Sie neu aufnehmen? Falls Sie weitere Hintergrundinformationen zum Plan suchen, können Sie [hier](https://beteiligungsplattform1.iwvi.uni-koblenz.de/t/welche-inhalte-hat-der-9-punkte-plan/27) eine ausführlichere Darstellung der Punkte sehen. [Hier](https://beteiligungsplattform1.iwvi.uni-koblenz.de/t/wie-wurde-der-9-punkte-plan-in-den-medien-bewertet/26) haben wir Ihnen Berichte zusammengestellt, wie der Plan in den Medien bewertet und kommentiert wurde. ## Sagen Sie uns Ihre Meinung!",2017-07-24 12:51:21.679285,NULL
2,semmelbroesel,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Bundeswehr im Inneren? Hier verstösst sie gegen das Grundgesetz.,2017-07-26 10:48:24.715265,NULL
3,uhrentoaster,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Ich vermisse konkrete Empfehlungen, wie dies umgesetzt werden soll.",2017-07-26 10:48:35.969662,NULL
4,reality_check,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Die genannten Maßnahmen sind überfällig.,2017-07-26 10:48:48.216127,NULL
5,buddy_art,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Mehr habe ich auch nicht erwartet neun Punkte BlaBla, nichts konkretes, ein bisschen Gesülze und ein patziges ""wir schaffen das"". Was ist eigentlich mit ""der ganzen Härte des Rechtsstaats"" gemeint? Wie bisher 3 Monate auf Bewährung? Armes Deutschland",2017-07-26 10:48:59.29974,NULL
6,birdie,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Die beste Bundeskanzlerin, die wir nur haben können, hat in ihrer ruhigen und überlegten Art die gegebene Situation analysiert, Schlussfolgerungen gezogen und konkrete Massnahmen angeschoben, um erste Schritte gegen den Terrordruck aufzubauen. Das unterscheidet sie eben von Schwätzern wie Seehofer, Orban, Wilders, Wagenknecht und Konsorten, die allesamt in ihrer Unbedarftheit nichts Vergleichbares zustande bringen.",2017-07-26 10:49:11.437754,NULL
7,Sternmarke,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Mir taucht in dem Plan viel zu häufig die Formulierung ""soll"" bzw. ""sollen"" auf. Das klingt mal wieder wenig konkret. Es müssten zum Beispiel konkrete Zahlen genannt werden, wann genau das Sicherheitspersonal und wie viele Mitarbeiter aufgestockt wird.",2017-08-29 10:42:34.721216,NULL
8,UdoUli,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Man sollte nicht die Bundeswehr für die innere sicherheit nich beanspruchen,wie hier auch schon kommentiert worde verstösst sie gegen das grundgesetzt,und ich meine das sollte die aufgabefür die Polzei sein",2017-08-29 11:31:49.241327,NULL
9,pokerwuerfel,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),"Heisse Luft, wie Alles, was St.Angela Merkel kommt. Wie die Realität in Europa aussieht, kann man tagtäglich verfolgen. Der hamburger Attentäter z.B. hätte nach Norwegen zurückgeschickt werden können. Wo sind die Behörden resp. Menschen, die dies umsetzen? Was für ein Trauerspiel!!",2017-08-29 12:30:05.637099,NULL
10,Zehle0,Welche Meinung haben Sie zum 9-Punkte-Plan? (190),Wenn Sie das Alles machen wollen? Dann mal viel spaß.,2017-08-29 13:42:51.966323,NULL
