post_number,topic,user,raw,created_at,reply_to_post_number,key,value
1,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),system,"<div class=""wrap""><img src=""/uploads/default/original/1X/b4171927df570329648dc90cf24dbc1eeaf27979.jpg"" width=""690"" height=""388""></div> Am 28.07.2016 hat Bundeskanzlerin Angela Merkel ihren Neun-Punkte-Plan zur Terrorbekämpfung vorgestellt. Er gilt als eine Reaktion auf die Terroranschläge der vergangenen Zeit. Das sind die neun Punkte in der Gesamtübersicht: **1. Frühwarnsystem** Zu Merkels Konzept gehört ein „besseres Frühwarnsystem“, das Behörden bereits dann ein Tätigwerden ermöglicht, wenn bei Asylverfahren Hinweise auf eine Radikalisierung erkennbar werden. **2. Mehr Personal** Die Polizei soll durch personelle und technische Maßnahmen gestärkt werden. **3. Stelle zur Entschlüsselung der Netzkommunikation** Die bereits beschlossene zentrale Stelle für Informationstechnik im Sicherheitsbereich zur Entschlüsselung der Internetkommunikation sollte schnellstmöglich aufgebaut werden. **4. Bundeswehr** Bundeswehreinsätze im Inneren sollen bei großen Terroranschlägen möglich werden. Dazu zählen gemeinsame Übungen von Bundeswehr und Polizei. **5. Forschung und Prävention** Alle bestehenden Forschungsvorhaben zum islamistischen Terror und zur Radikalisierung von Menschen sollen fortgesetzt und gegebenenfalls erweitert werden. **6. Mehr Datenfluss in Europa** Auf europäischer Ebene sollen alle bestehenden Dateien schnellstmöglich vernetzt werden. **7. Online-Waffenkauf unterbinden** Das neue europäische Waffenrecht muss schnellstmöglich verabschiedet werden. Auf nationaler Ebene soll der Handel oder Kauf von Waffen online nicht mehr möglich sein. **8. Stärkere Kooperation der Geheimdienste** Die Kooperation mit befreundeten Diensten soll verstärkt und Aufklärung beschleunigt werden. So kann das Kommunikationsverhalten der Täter besser analysiert werden. **9. Mehr Abschiebungen** Die Anstrengungen zur Rückführung von Flüchtlingen in ihre Herkunftsländer müssen verstärkt werden, so Merkel. Was denken Sie über den Plan? Geht er zu weit, zu kurz? Welche Punkte würden Sie streichen? Welche Punkte würden Sie neu aufnehmen? Falls Sie weitere Hintergrundinformationen zum Plan suchen, können Sie [hier](https://beteiligungsplattform2.iwvi.uni-koblenz.de/t/welche-inhalte-hat-der-9-punkte-plan/31) eine ausführlichere Darstellung der Punkte sehen. [Hier](https://beteiligungsplattform2.iwvi.uni-koblenz.de/t/wie-wurde-der-9-punkte-plan-in-den-medien-bewertet/30) haben wir Ihnen Berichte zusammengestellt, wie der Plan in den Medien bewertet und kommentiert wurde. ## Sagen Sie uns Ihre Meinung!",2017-07-27 12:01:41.283357,NULL,+1|retort,"[""Chrysler123"", ""eisblume"", ""Marion"", ""Tris""]"
2,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),semmelbroesel,Bundeswehr im Inneren? Hier verstösst sie gegen das Grundgesetz.,2017-07-27 12:03:14.997214,NULL,+1|retort,"[""buddy_art"", ""herzberg1"", ""MaltoCortese"", ""Pe007pper"", ""Fuchswerk"", ""Vicky"", ""jagger1"", ""Tris""]"
3,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),uhrentoaster,"Ich vermisse konkrete Empfehlungen, wie dies umgesetzt werden soll.",2017-07-27 12:03:27.441691,NULL,+1|retort,"[""semmelbroesel"", ""zigeunerin"", ""MaltoCortese"", ""pere"", ""ErhardJakubik"", ""Dafaju"", ""eisblume"", ""Pe007pper"", ""Konsti"", ""jagger1"", ""Pabi"", ""Tris""]"
4,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),reality_check,Die genannten Maßnahmen sind überfällig.,2017-07-27 12:03:36.927757,NULL,+1|retort,"[""birdie"", ""zigeunerin"", ""kurzundknapp"", ""Pabi"", ""Tris""]"
5,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),buddy_art,"Mehr habe ich auch nicht erwartet neun Punkte BlaBla, nichts konkretes, ein bisschen Gesülze und ein patziges “wir schaffen das”. Was ist eigentlich mit “der ganzen Härte des Rechtsstaats” gemeint? Wie bisher 3 Monate auf Bewährung? Armes Deutschland",2017-07-27 12:03:47.923585,NULL,+1|retort,"[""kurzundknapp"", ""Tris""]"
6,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),birdie,"Die beste Bundeskanzlerin, die wir nur haben können, hat in ihrer ruhigen und überlegten Art die gegebene Situation analysiert, Schlussfolgerungen gezogen und konkrete Massnahmen angeschoben, um erste Schritte gegen den Terrordruck aufzubauen. Das unterscheidet sie eben von Schwätzern wie Seehofer, Orban, Wilders, Wagenknecht und Konsorten, die allesamt in ihrer Unbedarftheit nichts Vergleichbares zustande bringen.",2017-07-27 12:03:58.130635,NULL,+1|retort,"[""reality_check"", ""zigeunerin"", ""Tris""]"
7,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Mo03,"Das hört sich ja alles gut an, aber wie soll es umgesetzt werden? Und mir fehlt der Punkt: weniger Flüchtlinge ins Land lassen!",2017-08-29 09:31:38.345015,NULL,+1|retort,"[""Realitaet""]"
8,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),MaximusG,Im großen und ganzem notwendige Schritte. Aber was bringt das wenn erkannte Gefährder weiterhin unter uns leben dürfen. Gefährder müssen früher und konsequent abgeschoben werden. Einzelne Personen über Monate oder Jahre mit großem Personalaufwand überwachen zu lassen finde ich wenig effektiv. Außerdem müsste es Grenzkontrollen geben.,2017-08-29 09:45:37.84298,NULL,+1|retort,"[""Vicky"", ""Realitaet""]"
9,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),frevo61,"Also mal ehrlich alles alte Kamellen - wohl nur wieder Wahlkampfgeschwätz und danach ich weiß von nichts,habe davon nichts gesagt (O-Ton Merkel) Passieren wird doch eh wieder nichts",2017-08-29 10:17:08.715341,NULL,NULL,NULL
10,Welche Meinung haben Sie zum 9-Punkte-Plan? (103),Claus2608,"Vernetzung und mehr Personal, das ist der eine Punkt. Andererseits müssen wir uns auf mehr Überwachung einstellen. Gefährder müssen konsequent festgesetzt werden bzw. schnell abgeschoben. Den Terror wird man nie komplett ausschalten können, aber zumindest versuchen, die Zahl bzw. die Intensität der Anschläge zu minimieren.",2017-08-29 10:30:04.201454,NULL,NULL,NULL
