post_number,topic,user,raw,created_at,reply_to_post_number,key,value,key,value
1,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),system,"<div class=""wrap""><img src=""/uploads/default/original/1X/b4171927df570329648dc90cf24dbc1eeaf27979.jpg"" width=""690"" height=""388""></div> Am 28.07.2016 hat Bundeskanzlerin Angela Merkel ihren Neun-Punkte-Plan zur Terrorbekämpfung vorgestellt. Er gilt als eine Reaktion auf die Terroranschläge der vergangenen Zeit. Das sind die neun Punkte in der Gesamtübersicht: **1. Frühwarnsystem** Zu Merkels Konzept gehört ein „besseres Frühwarnsystem“, das Behörden bereits dann ein Tätigwerden ermöglicht, wenn bei Asylverfahren Hinweise auf eine Radikalisierung erkennbar werden. **2. Mehr Personal** Die Polizei soll durch personelle und technische Maßnahmen gestärkt werden. **3. Stelle zur Entschlüsselung der Netzkommunikation** Die bereits beschlossene zentrale Stelle für Informationstechnik im Sicherheitsbereich zur Entschlüsselung der Internetkommunikation sollte schnellstmöglich aufgebaut werden. **4. Bundeswehr** Bundeswehreinsätze im Inneren sollen bei großen Terroranschlägen möglich werden. Dazu zählen gemeinsame Übungen von Bundeswehr und Polizei. **5. Forschung und Prävention** Alle bestehenden Forschungsvorhaben zum islamistischen Terror und zur Radikalisierung von Menschen sollen fortgesetzt und gegebenenfalls erweitert werden. **6. Mehr Datenfluss in Europa** Auf europäischer Ebene sollen alle bestehenden Dateien schnellstmöglich vernetzt werden. **7. Online-Waffenkauf unterbinden** Das neue europäische Waffenrecht muss schnellstmöglich verabschiedet werden. Auf nationaler Ebene soll der Handel oder Kauf von Waffen online nicht mehr möglich sein. **8. Stärkere Kooperation der Geheimdienste** Die Kooperation mit befreundeten Diensten soll verstärkt und Aufklärung beschleunigt werden. So kann das Kommunikationsverhalten der Täter besser analysiert werden. **9. Mehr Abschiebungen** Die Anstrengungen zur Rückführung von Flüchtlingen in ihre Herkunftsländer müssen verstärkt werden, so Merkel. Was denken Sie über den Plan? Geht er zu weit, zu kurz? Welche Punkte würden Sie streichen? Welche Punkte würden Sie neu aufnehmen? Falls Sie weitere Hintergrundinformationen zum Plan suchen, können Sie [hier](https://beteiligungsplattform3.iwvi.uni-koblenz.de/t/welche-inhalte-hat-der-9-punkte-plan/24) eine ausführlichere Darstellung der Punkte sehen. [Hier](https://beteiligungsplattform3.iwvi.uni-koblenz.de/t/wie-wurde-der-9-punkte-plan-in-den-medien-bewertet/23) haben wir Ihnen Berichte zusammengestellt, wie der Plan in den Medien bewertet und kommentiert wurde. ## Sagen Sie uns Ihre Meinung!",2017-07-31 10:06:02.501793,NULL,+1|retort,"[""Muesel"", ""anonym5"", ""krenz"", ""Blackcat75"", ""diefcbande"", ""Sonnenschein"", ""ingrid"", ""meinemeinung"", ""omamami"", ""Alex1"", ""urmel1957_2_5"", ""Aileen"", ""janterstege""]",-1|retort,"[""bernd12587""]"
2,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),semmelbroesel,Bundeswehr im Inneren? Hier verstösst sie gegen das Grundgesetz.,2017-07-31 10:06:25.087688,NULL,+1|retort,"[""buddy_art"", ""herzberg1"", ""MaltoCortese"", ""ToWi"", ""Annzlodi"", ""hallo"", ""johanna""]",-1|retort,"[""birdie"", ""zigeunerin"", ""lukash2"", ""garda"", ""omamami"", ""Komaekiki""]"
3,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),uhrentoaster,"Ich vermisse konkrete Empfehlungen, wie dies umgesetzt werden soll.",2017-07-31 10:06:33.761214,NULL,+1|retort,"[""semmelbroesel"", ""zigeunerin"", ""MaltoCortese"", ""pere"", ""ErhardJakubik"", ""MissAH"", ""lukash2"", ""peter-59"", ""bernies"", ""Thommy63"", ""Annzlodi"", ""Alex1"", ""Komaekiki"", ""cairomoon""]",NULL,NULL
4,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),reality_check,Die genannten Maßnahmen sind überfällig.,2017-07-31 10:06:44.682046,NULL,+1|retort,"[""birdie"", ""zigeunerin"", ""kurzundknapp"", ""lukash2"", ""bernies"", ""sweetme"", ""Annzlodi"", ""johanna"", ""rhoven"", ""graefer"", ""Komaekiki"", ""cairomoon"", ""Chipsie""]",-1|retort,"[""buddy_art""]"
5,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),buddy_art,"Mehr habe ich auch nicht erwartet neun Punkte BlaBla, nichts konkretes, ein bisschen Gesülze und ein patziges “wir schaffen das”. Was ist eigentlich mit “der ganzen Härte des Rechtsstaats” gemeint? Wie bisher 3 Monate auf Bewährung? Armes Deutschland",2017-07-31 10:06:54.137063,NULL,+1|retort,"[""kurzundknapp"", ""MissAH"", ""lukash2"", ""Annzlodi"", ""philk"", ""Bea1"", ""johanna""]",-1|retort,"[""reality_check"", ""birdie"", ""zigeunerin"", ""ToWi"", ""Chipsie""]"
6,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),birdie,"Die beste Bundeskanzlerin, die wir nur haben können, hat in ihrer ruhigen und überlegten Art die gegebene Situation analysiert, Schlussfolgerungen gezogen und konkrete Massnahmen angeschoben, um erste Schritte gegen den Terrordruck aufzubauen. Das unterscheidet sie eben von Schwätzern wie Seehofer, Orban, Wilders, Wagenknecht und Konsorten, die allesamt in ihrer Unbedarftheit nichts Vergleichbares zustande bringen.",2017-07-31 10:07:04.065922,NULL,+1|retort,"[""reality_check"", ""zigeunerin"", ""Petra"", ""Anubis"", ""Annzlodi"", ""Alex1"", ""johanna"", ""Chipsie""]",-1|retort,"[""semmelbroesel"", ""buddy_art"", ""herzberg1"", ""kurzundknapp"", ""MissAH"", ""Snoopy"", ""Kirschrotersommer86"", ""peter-59"", ""Drwotson"", ""Komaekiki""]"
7,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Blumenbaer,"Wozu muss es denn überhaupt einen Plan geben. Fr. Merkel regiert doch schon. Einige Punkte lassen sich sofort umsetzen. Durchweg wohl sinnvolle Maßnahmen, nicht alle einfach umzusetzen, für mich aber machbar (auch Bundeswehreinsatz im Inneren, benötigte halt ne Gesetzesänderung). Das Meiste klingt sehr unkonkret.",2017-08-29 14:19:14.394673,NULL,+1|retort,"[""bernies"", ""Petra"", ""Annzlodi"", ""johanna"", ""Chipsie""]",NULL,NULL
8,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Gleichklang,"Bundeswehr im Inneren! Endlich wird dieses Dogma diskutiert. Man sollte sich nicht einsperren in alte Denkweisen (auch wenn diese historisch nachvollziehbar sein können). In anderen Ländern ist es kein Problem, solange die Aufgaben klar definiert, die Leitung(Führung) klar abgesprochen und der positvie Nutzen im Vordergrund stehen. (In Frankreich ist die Gendamerie ein Teil der Armee, schon sehr lange!)",2017-08-29 15:11:44.444156,2,+1|retort,"[""garda"", ""Anubis"", ""Annzlodi"", ""Gleichklang"", ""johanna"", ""Komaekiki""]",-1|retort,"[""ToWi""]"
9,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),samson65,"In meinen Augen ist es Aktionismus pur. Bundeswehr im Inneren?! Mehr Polizei, jetzt nachdem man viele Stellen nicht besetzt hat und die, die man hat, werden für Großveranstaltungen herangezogen, wo entweder etwas mit Gewalt durchgesetzt werden soll (Gorleben), Sportveranstaltungen (Fußball) oder z.B. G20. Stärkere Kooperation der Geheimdienste? Versagen die nicht schon seit Jahren?",2017-08-29 17:54:58.112882,NULL,+1|retort,"[""ClaudiaE""]",-1|retort,"[""Annzlodi""]"
10,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),anonym1,Zu wenig Konkretes. Imme dasselbe Oberflächliche. Da kann man sich später gut rausreden.,2017-08-29 19:20:39.246872,NULL,NULL,NULL,-1|retort,"[""Annzlodi""]"
11,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Sindbad,"Ist ja wieder typisch Merkel,erst alle hier reinlassen und dann so tun als ob durch solche Pläne sicherheit wiederhergestellt würde.Sind ja größtenteils Punkte die ja selbstverständlich sein sollten auch schon jetzt.Also hohles gerede besonders da nicht gerede sondern Personal nötig ist und das geld dafür. Und Militär im Inland? Zweifelhaft man könnte auch Spezialeinheiten bei der Polizei stärken bzw bewaffnen.",2017-08-29 19:24:17.157842,NULL,+1|retort,"[""MissAH"", ""den27"", ""Annzlodi"", ""bernies"", ""ClaudiaE""]",NULL,NULL
12,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Graf23,Alle Punkte hätten schon umgesetzt werden können. Schnellere Abschiebung klappt doch eh nicht weil komischerweise meistens die Papiere fehlen.,2017-08-30 09:59:03.785154,NULL,+1|retort,"[""MissAH"", ""den27"", ""lisa5953"", ""Annzlodi"", ""bernies"", ""ClaudiaE""]",NULL,NULL
13,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Geisler17,Man könnte es auch Schuldeingeständnis nennen!,2017-08-30 10:03:41.653195,NULL,NULL,NULL,-1|retort,"[""ToWi"", ""Annzlodi"", ""ClaudiaE"", ""Chipsie""]"
14,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Shampoo,Die Ansätze und Ideen sind nicht schlecht. Aber wie soll das ganze umgesetzt werden? Diese Punkte hätte auch eine x-beliebige Projektgruppe erstellen können. Von der Politik erwarte ich grundsätzliche Lösungsvorschläge und wie diese im Einzelnen umgesetzt werden sollen.,2017-08-30 10:07:46.694801,NULL,+1|retort,"[""gayd2201"", ""teddy"", ""garda"", ""Annzlodi""]",NULL,NULL
15,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),BirgitK,Wenn er so umgesetzt wird ein guter Anfang,2017-08-30 10:09:36.985798,NULL,+1|retort,"[""Annzlodi"", ""Chipsie""]",-1|retort,"[""MissAH""]"
16,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),BirgitK,Dann sollte es auch möglich sein ohne Papiere abzuschieben. In das Land welches angegeben wird,2017-08-30 10:12:48.185673,12,+1|retort,"[""MissAH"", ""Annzlodi""]",NULL,NULL
17,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Graf23,Richtig,2017-08-30 10:27:52.967494,12,+1|retort,"[""Annzlodi""]",NULL,NULL
18,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),anonym5,"Naja, insgesamt gesehen machen die einzelnen Maßnahmen ja durchaus Sinn. Wobei ich die Punkte, die zur **Vermeidung** von terroristischen Anschlägen dienen, als Top-Prio betrachte. Das heißt, stärkere und striktere Kontrolle der Zuwanderung, Vernetzung der Informationsströme (inkl. Geheimdienste), Kontrolle des Waffenhandels. Bei der Stärkung der Forschung erwarte ich eher keine schnellen Erkenntnisse, welche auch tatsächlich zu handfesten Maßnahmen führen könnten. Und die Einbeziehung der Bw im Falle von Anschlägen ist halt doch eher kurativ. Die AfD ist für mich nicht wählbar, aber deren scheinbare (und hoffentlich nur kurzfristige) Popularität trägt m.E. schon dazu bei, dass sich auch unsere eher bequeme Regierung in dieser Thematik auch wirklich in Bewegung setzt. Wobei mich schon wieder irritiert, dass der Plan ja schon wieder ein Jahr alt ist...",2017-08-30 10:30:49.364089,NULL,+1|retort,"[""peter-59"", ""Annzlodi""]",NULL,NULL
19,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Nadin1979,"Dass ist alles längst überfällig. Das Kind ist schon in den Brunnen gefallen. Mit der unkontrollierten Grenzöffnung hat sie einen nicht wieder gut zu machenden Fehler gemacht. Alle Anschläge in den letzten Monaten wurden von Ausländern verübt. Wer braucht denn diesen Plan?? Die Umsetzung dauert viel zu lange!!!!! Punkt 9 Flüchtlinge???? Wenn es Flüchtlinge wären, bräuchte man sie nicht integrieren, denn Flüchtlinge gehen in ihre Heimatländer zurück. ...und das ist nicht gewollt.",2017-08-30 10:32:54.862485,NULL,+1|retort,"[""Snoopy"", ""garda"", ""Kirschrotersommer86"", ""MissAH"", ""Annzlodi"", ""kleinschorschi""]",-1|retort,"[""ToWi"", ""suedzipfel""]"
20,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),gayd2201,"Wenn das tatsächlich gemacht wird, ändert sich schon einiges.",2017-08-30 11:16:35.878736,NULL,+1|retort,"[""Annzlodi""]",-1|retort,"[""MissAH""]"
21,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),krenz,Eigentlich ein guter Plan. Aber er kommt zu spät. Erst Millionen reinlassen und dann müssen solche Pläne her.,2017-08-30 12:17:33.579453,NULL,+1|retort,"[""teddy"", ""MissAH"", ""Annzlodi""]",-1|retort,"[""ToWi"", ""suedzipfel""]"
22,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Chyrus,"Meiner Ansicht nach ist das Frühwarnsystem nutzlos, wenn man keine nötigen Schritte ausführt. Und Menschen nur aufgrund eines Verdachtes einzusperren oder abzuschieben wäre gegen das Gesetz. Mir persönlich fehlt die Tiefe und Umsetzbarkeit des 9 Punkte Plans.",2017-08-30 13:01:11.661215,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
23,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),Tina2017,"Ich denke, wenn wir di Bundeswehr wieder einführen würden, wäre einiges leichter.",2017-08-30 13:16:05.514262,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
24,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),bob121151,"Neun-Punkte-Plan zur Terrorbekämpfung finde ich wirklich gut wenn alle Punkte ins Leben gebracht werden. Der Plan muss nicht nur konkretisiert, sondern verbreitet und verstärkt werden. Die Sicherheit und ruhiges Leben in Deutschland und Europa müssen für alle auf höchster Nivea stehen.",2017-08-30 13:53:09.657254,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
25,Welche Meinung haben Sie zum 9-Punkte-Plan? (125),marmartin,Theoretisch es scheint positiv und effizient,2017-08-30 14:05:49.054395,NULL,+1|retort,"[""Annzlodi""]",NULL,NULL
